Interrupt Source/Wire,Leaf Register,Leaf Bit,GPU Interrupt Vector,MSI-X Entry,In GSP Tree,Level or Pulse,Virtual,Comment
lce7_stall,NV_PMC_INTR(0),0,,4,n,level,n,
nvenc1_stall,NV_PMC_INTR(0),1,,4,n,level,n,
lce5_stall,NV_PMC_INTR(0),2,,4,n,level,n,
lce8_stall,NV_PMC_INTR(0),3,,4,n,level,n,
nvenc2_stall,NV_PMC_INTR(0),4,,4,n,level,n,
lce0_stall,NV_PMC_INTR(0),5,,4,n,level,n,
lce1_stall,NV_PMC_INTR(0),6,,4,n,level,n,
lce2_stall,NV_PMC_INTR(0),7,,4,n,level,n,
pfifo_intr (stall),NV_PMC_INTR(0),8,,4,n,level,n,
nvjpg_stall,NV_PMC_INTR(0),9,,4,n,level,n,New for TU10x
lce3_stall,NV_PMC_INTR(0),10,,4,n,level,n,
lce4_stall,NV_PMC_INTR(0),11,,4,n,level,n,
graphics_stall,NV_PMC_INTR(0),12,,4,n,level,n,
pfb_intr,NV_PMC_INTR(0),13,,4,n,level,n,
lce6_stall,NV_PMC_INTR(0),14,,4,n,level,n,
sec0_stall,NV_PMC_INTR(0),15,,4,n,level,n,
nvenc0_stall,NV_PMC_INTR(0),16,,4,n,level,n,
nvdec_stall,NV_PMC_INTR(0),17,,4,n,level,n,
intr_thermal,NV_PMC_INTR(0),18,,4,n,level,n,
intr_hdacodec,NV_PMC_INTR(0),19,,4,n,level,n,
intr_ptimer,NV_PMC_INTR(0),20,,4,n,level,n,
intr_pmgr,NV_PMC_INTR(0),21,,4,n,level,n,
ioctrl_stall,NV_PMC_INTR(0),22,,4,n,level,n,
intr_dfd,NV_PMC_INTR(0),23,,4,n,level,n,
intr_pmu,NV_PMC_INTR(0),24,,4,n,level,n,
intr_ltc_all,NV_PMC_INTR(0),25,,4,n,level,n,
intr_pdisp,NV_PMC_INTR(0),26,,4,n,level,n,
gsp_stall,NV_PMC_INTR(0),27,,4,n,level,n,
intr_pbus,NV_PMC_INTR(0),28,,4,n,level,n,
intr_xve,NV_PMC_INTR(0),29,,4,n,level,n,
intr_priv_ring,NV_PMC_INTR(0),30,,4,n,level,n,
