Interrupt Source/Wire,Leaf Register,Leaf Bit,GPU Interrupt Vector,MSI-X Entry,In GSP Tree,Level or Pulse,Virtual,Comment
intr_software,NV_PMC_INTR(0),31,,4,n,level,n,
lce7_nostall,NV_PMC_INTR(1),0,,5,n,pulse,n,
nvenc1_nostall,NV_PMC_INTR(1),1,,5,n,pulse,n,
lce5_nostall,NV_PMC_INTR(1),2,,5,n,pulse,n,
lce8_nostall,NV_PMC_INTR(1),3,,5,n,pulse,n,
nvenc2_nostall,NV_PMC_INTR(1),4,,5,n,pulse,n,
lce0_nostall,NV_PMC_INTR(1),5,,5,n,pulse,n,
lce1_nostall,NV_PMC_INTR(1),6,,5,n,pulse,n,
lce2_nostall,NV_PMC_INTR(1),7,,5,n,pulse,n,
pfifo_intr (nostall),NV_PMC_INTR(1),8,,5,n,level,n,
nvjpg_nonstall,NV_PMC_INTR(1),9,,5,n,pulse,n,New for TU10x
lce3_nostall,NV_PMC_INTR(1),10,,5,n,pulse,n,
lce4_nostall,NV_PMC_INTR(1),11,,5,n,pulse,n,
graphics_nostall,NV_PMC_INTR(1),12,,5,n,pulse,n,
,NV_PMC_INTR(1),13,,5,,,,
lce6_nostall,NV_PMC_INTR(1),14,,5,n,pulse,n,
sec0_nostall,NV_PMC_INTR(1),15,,5,n,pulse,n,
nvenc0_nostall,NV_PMC_INTR(1),16,,5,n,pulse,n,
nvdec_nostall,NV_PMC_INTR(1),17,,5,n,pulse,n,
,NV_PMC_INTR(1),18,,5,,,,
,NV_PMC_INTR(1),19,,5,,,,
,NV_PMC_INTR(1),20,,5,,,,
,NV_PMC_INTR(1),21,,5,,,,
,NV_PMC_INTR(1),22,,5,,,,
,NV_PMC_INTR(1),23,,5,,,,
,NV_PMC_INTR(1),24,,5,,,,
,NV_PMC_INTR(1),25,,5,,,,
,NV_PMC_INTR(1),26,,5,,,,
,NV_PMC_INTR(1),27,,5,,,,
intr_pbus,NV_PMC_INTR(1),28,,5,n,,?,
,NV_PMC_INTR(1),29,,5,,,,
,NV_PMC_INTR(1),30,,5,,,,
,NV_PMC_INTR(1),31,,5,,,,
lce7_nostall,CPU_LEAF(0),0,0,0,y,pulse,y,
nvenc1_nostall,CPU_LEAF(0),1,1,0,y,pulse,y,
lce5_nostall,CPU_LEAF(0),2,2,0,y,pulse,y,
lce8_nostall,CPU_LEAF(0),3,3,0,y,pulse,y,
nvenc2_nostall,CPU_LEAF(0),4,4,0,y,pulse,y,
reserved (lce0_nostall),CPU_LEAF(0),5,5,0,,,,Reserved
reserved (lce1_nostall),CPU_LEAF(0),6,6,0,,,,Reserved
lce2_nostall,CPU_LEAF(0),7,7,0,y,pulse,y,
,CPU_LEAF(0),8,8,0,,,,
nvjpg_nostall,CPU_LEAF(0),9,9,0,y,pulse,y,New for TU10x
lce3_nostall,CPU_LEAF(0),10,10,0,y,pulse,y,
lce4_nostall,CPU_LEAF(0),11,11,0,y,pulse,y,
graphics_nostall,CPU_LEAF(0),12,12,0,y,pulse,y,
,CPU_LEAF(0),13,13,0,,,,
lce6_nostall,CPU_LEAF(0),14,14,0,y,pulse,y,
sec0_nostall,CPU_LEAF(0),15,15,0,y,pulse,y,
nvenc0_nostall,CPU_LEAF(0),16,16,0,y,pulse,y,
nvdec_nostall,CPU_LEAF(0),17,17,0,y,pulse,y,
,CPU_LEAF(0),18,18,0,,,,
,CPU_LEAF(0),19,19,0,,,,
,CPU_LEAF(0),20,20,0,,,,
,CPU_LEAF(0),21,21,0,,,,
,CPU_LEAF(0),22,22,0,,,,
,CPU_LEAF(0),23,23,0,,,,
,CPU_LEAF(0),24,24,0,,,,
,CPU_LEAF(0),25,25,0,,,,
,CPU_LEAF(0),26,26,0,,,,
,CPU_LEAF(0),27,27,0,,,,
,CPU_LEAF(0),28,28,0,,,,
,CPU_LEAF(0),29,29,0,,,,
,CPU_LEAF(0),30,30,0,,,,
,CPU_LEAF(0),31,31,0,,,,
,CPU_LEAF(1),0,32,0,,,,
,CPU_LEAF(1),1,33,0,,,,
,CPU_LEAF(1),2,34,0,,,,
,CPU_LEAF(1),3,35,0,,,,
,CPU_LEAF(1),4,36,0,,,,
,CPU_LEAF(1),5,37,0,,,,
,CPU_LEAF(1),6,38,0,,,,
,CPU_LEAF(1),7,39,0,,,,
,CPU_LEAF(1),8,40,0,,,,
,CPU_LEAF(1),9,41,0,,,,
,CPU_LEAF(1),10,42,0,,,,
,CPU_LEAF(1),11,43,0,,,,
,CPU_LEAF(1),12,44,0,,,,
,CPU_LEAF(1),13,45,0,,,,
,CPU_LEAF(1),14,46,0,,,,
,CPU_LEAF(1),15,47,0,,,,
,CPU_LEAF(1),16,48,0,,,,
,CPU_LEAF(1),17,49,0,,,,
,CPU_LEAF(1),18,50,0,,,,
,CPU_LEAF(1),19,51,0,,,,
,CPU_LEAF(1),20,52,0,,,,
,CPU_LEAF(1),21,53,0,,,,
,CPU_LEAF(1),22,54,0,,,,
,CPU_LEAF(1),23,55,0,,,,
,CPU_LEAF(1),24,56,0,,,,
,CPU_LEAF(1),25,57,0,,,,
,CPU_LEAF(1),26,58,0,,,,
,CPU_LEAF(1),27,59,0,,,,
,CPU_LEAF(1),28,60,0,,,,
,CPU_LEAF(1),29,61,0,,,,
,CPU_LEAF(1),30,62,0,,,,
,CPU_LEAF(1),31,63,0,,,,
mmu_replayable_fault,CPU_LEAF(2),0,64,1,y,pulse,y,Definitely UVM
,CPU_LEAF(2),1,65,1,,,,
,CPU_LEAF(2),2,66,1,,,,
,CPU_LEAF(2),3,67,1,,,,
,CPU_LEAF(2),4,68,1,,,,
,CPU_LEAF(2),5,69,1,,,,
,CPU_LEAF(2),6,70,1,,,,
,CPU_LEAF(2),7,71,1,,,,
hub_access_cntr_intr,CPU_LEAF(2),8,72,1,y,pulse,y,definitely UVM
,CPU_LEAF(2),9,73,1,,,,
,CPU_LEAF(2),10,74,1,,,,
,CPU_LEAF(2),11,75,1,,,,
,CPU_LEAF(2),12,76,1,,,,
,CPU_LEAF(2),13,77,1,,,,
,CPU_LEAF(2),14,78,1,,,,
,CPU_LEAF(2),15,79,1,,,,
,CPU_LEAF(2),16,80,1,,,,
,CPU_LEAF(2),17,81,1,,,,
,CPU_LEAF(2),18,82,1,,,,
,CPU_LEAF(2),19,83,1,,,,
,CPU_LEAF(2),20,84,1,,,,
,CPU_LEAF(2),21,85,1,,,,
,CPU_LEAF(2),22,86,1,,,,
,CPU_LEAF(2),23,87,1,,,,
,CPU_LEAF(2),24,88,1,,,,
,CPU_LEAF(2),25,89,1,,,,
,CPU_LEAF(2),26,90,1,,,,
,CPU_LEAF(2),27,91,1,,,,
,CPU_LEAF(2),28,92,1,,,,
,CPU_LEAF(2),29,93,1,,,,
,CPU_LEAF(2),30,94,1,,,,
,CPU_LEAF(2),31,95,1,,,,
,CPU_LEAF(3),0,96,1,,,,
,CPU_LEAF(3),1,97,1,,,,
,CPU_LEAF(3),2,98,1,,,,
,CPU_LEAF(3),3,99,1,,,,
,CPU_LEAF(3),4,100,1,,,,
,CPU_LEAF(3),5,101,1,,,,
,CPU_LEAF(3),6,102,1,,,,
,CPU_LEAF(3),7,103,1,,,,
,CPU_LEAF(3),8,104,1,,,,
,CPU_LEAF(3),9,105,1,,,,
,CPU_LEAF(3),10,106,1,,,,
,CPU_LEAF(3),11,107,1,,,,
,CPU_LEAF(3),12,108,1,,,,
,CPU_LEAF(3),13,109,1,,,,
,CPU_LEAF(3),14,110,1,,,,
,CPU_LEAF(3),15,111,1,,,,
,CPU_LEAF(3),16,112,1,,,,
,CPU_LEAF(3),17,113,1,,,,
,CPU_LEAF(3),18,114,1,,,,
,CPU_LEAF(3),19,115,1,,,,
,CPU_LEAF(3),20,116,1,,,,
,CPU_LEAF(3),21,117,1,,,,
,CPU_LEAF(3),22,118,1,,,,
,CPU_LEAF(3),23,119,1,,,,
,CPU_LEAF(3),24,120,1,,,,
,CPU_LEAF(3),25,121,1,,,,
,CPU_LEAF(3),26,122,1,,,,
,CPU_LEAF(3),27,123,1,,,,
,CPU_LEAF(3),28,124,1,,,,
,CPU_LEAF(3),29,125,1,,,,
,CPU_LEAF(3),30,126,1,,,,
,CPU_LEAF(3),31,127,1,,,,
mmu_fault_ecc_error,CPU_LEAF(4),0,128,2,y,pulse,n,
CPU_DOORBELL,CPU_LEAF(4),1,129,2,n,pulse,y,
NV_VIRTUAL_FUNCTION_PRIV_DOORBELL,CPU_LEAF(4),2,130,2,n,pulse,n,
mmu_replayable_fault_error,CPU_LEAF(4),3,131,2,y,pulse,y,
mmu_non_replayable_fault,CPU_LEAF(4),4,132,2,y,pulse,y,This is dispatched to UVM driver based on if the fault packet is from a context with faulting enabled + the engine supports page fault.
mmu_non_replayable_fault_error,CPU_LEAF(4),5,133,2,y,pulse,y,
mmu_info_fault,CPU_LEAF(4),6,134,2,y,pulse,y,"Includes BAR1/BAR2, Physical, and faults when no fault buffer setup"
,CPU_LEAF(4),7,135,2,,,,
pfifo_intr_0 (stall),CPU_LEAF(4),8,136,2,y,level,n,
pfifo_intr_1 (nonstall),CPU_LEAF(4),9,137,2,y,level,n,
,CPU_LEAF(4),10,138,2,,,,
,CPU_LEAF(4),11,139,2,,,,
,CPU_LEAF(4),12,140,2,,,,
pfb_intr,CPU_LEAF(4),13,141,2,y,level,n,
,CPU_LEAF(4),14,142,2,,,,
,CPU_LEAF(4),15,143,2,,,,
ioctrl_nostall (ioctrl_b),CPU_LEAF(4),16,144,2,y,level,n,Moved for TU
nvlink_transaction_blocked,CPU_LEAF(4),17,145,2,y,level,n,New for TU10x
intr_thermal,CPU_LEAF(4),18,146,2,y,level,n,
intr_hdacodec,CPU_LEAF(4),19,147,2,y,level,n,
intr_ptimer,CPU_LEAF(4),20,148,2,n,pulse,y,
intr_pmgr,CPU_LEAF(4),21,149,2,y,level,n,
ioctrl_stall (ioctrl_a),CPU_LEAF(4),22,150,2,y,level,n,
intr_dfd,CPU_LEAF(4),23,151,2,y,level,n,
intr_pmu,CPU_LEAF(4),24,152,2,y,level,n,
intr_ltc_all,CPU_LEAF(4),25,153,2,y,level,n,
intr_pdisp,CPU_LEAF(4),26,154,2,y,level,n,
gsp_stall,CPU_LEAF(4),27,155,2,n,level,n,
intr_pbus,CPU_LEAF(4),28,156,2,y,level,n,
intr_xve,CPU_LEAF(4),29,157,2,y,level,n,
intr_priv_ring,CPU_LEAF(4),30,158,2,y,level,n,
,CPU_LEAF(4),31,159,2,,,,
,CPU_LEAF(5),0,160,2,,,,
,CPU_LEAF(5),1,161,2,,,,
,CPU_LEAF(5),2,162,2,,,,
,CPU_LEAF(5),3,163,2,,,,
,CPU_LEAF(5),4,164,2,,,,
,CPU_LEAF(5),5,165,2,,,,
,CPU_LEAF(5),6,166,2,,,,
,CPU_LEAF(5),7,167,2,,,,
,CPU_LEAF(5),8,168,2,,,,
,CPU_LEAF(5),9,169,2,,,,
,CPU_LEAF(5),10,170,2,,,,
,CPU_LEAF(5),11,171,2,,,,
,CPU_LEAF(5),12,172,2,,,,
,CPU_LEAF(5),13,173,2,,,,
,CPU_LEAF(5),14,174,2,,,,
,CPU_LEAF(5),15,175,2,,,,
,CPU_LEAF(5),16,176,2,,,,
,CPU_LEAF(5),17,177,2,,,,
,CPU_LEAF(5),18,178,2,,,,
,CPU_LEAF(5),19,179,2,,,,
,CPU_LEAF(5),20,180,2,,,,
,CPU_LEAF(5),21,181,2,,,,
,CPU_LEAF(5),22,182,2,,,,
,CPU_LEAF(5),23,183,2,,,,
,CPU_LEAF(5),24,184,2,,,,
,CPU_LEAF(5),25,185,2,,,,
,CPU_LEAF(5),26,186,2,,,,
,CPU_LEAF(5),27,187,2,,,,
,CPU_LEAF(5),28,188,2,,,,
,CPU_LEAF(5),29,189,2,,,,
,CPU_LEAF(5),30,190,2,,,,
,CPU_LEAF(5),31,191,2,,,,
lce7_stall,CPU_LEAF(6),0,192,3,y,level,n,
nvenc1_stall,CPU_LEAF(6),1,193,3,y,level,n,
lce5_stall,CPU_LEAF(6),2,194,3,y,level,n,
lce8_stall,CPU_LEAF(6),3,195,3,y,level,n,
nvenc2_stall,CPU_LEAF(6),4,196,3,y,level,n,
lce0_stall,CPU_LEAF(6),5,197,3,y,level,n,
lce1_stall,CPU_LEAF(6),6,198,3,y,level,n,
lce2_stall,CPU_LEAF(6),7,199,3,y,level,n,
,CPU_LEAF(6),8,200,3,,,,
nvjpg_stall,CPU_LEAF(6),9,201,3,y,level,n,New for TU10x
lce3_stall,CPU_LEAF(6),10,202,3,y,level,n,
lce4_stall,CPU_LEAF(6),11,203,3,y,level,n,
graphics_stall,CPU_LEAF(6),12,204,3,y,level,n,
,CPU_LEAF(6),13,205,3,,,,
lce6_stall,CPU_LEAF(6),14,206,3,y,level,n,
sec0_stall,CPU_LEAF(6),15,207,3,y,level,n,
nvenc0_stall,CPU_LEAF(6),16,208,3,y,level,n,
nvdec_stall,CPU_LEAF(6),17,209,3,y,level,n,
,CPU_LEAF(6),18,210,3,,,,
,CPU_LEAF(6),19,211,3,,,,
,CPU_LEAF(6),20,212,3,,,,
,CPU_LEAF(6),21,213,3,,,,
,CPU_LEAF(6),22,214,3,,,,
,CPU_LEAF(6),23,215,3,,,,
,CPU_LEAF(6),24,216,3,,,,
,CPU_LEAF(6),25,217,3,,,,
,CPU_LEAF(6),26,218,3,,,,
,CPU_LEAF(6),27,219,3,,,,
,CPU_LEAF(6),28,220,3,,,,
,CPU_LEAF(6),29,221,3,,,,
,CPU_LEAF(6),30,222,3,,,,
,CPU_LEAF(6),31,223,3,,,,
